Gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
AC002116.7,40,17,12,1,0,43,0,0,7,13,13,15,0,0,0,0,0,1,28,6,141,0,10,7,14,18,38,15,20,62
AC002116.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002117.1,29,29,2,1,0,21,0,0,11,6,0,41,0,0,0,0,0,3,27,29,0,1,20,23,6,22,15,22,17,15
AC002127.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0
AC002127.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AC002128.4,0,1,0,0,0,0,0,0,16,22,13,0,0,0,1,0,0,0,4,2,0,0,0,2,1,0,7,4,3,0
AC002128.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,4,7
AC002306.1,27,6,0,74,9,22,2,0,2,6,6,0,0,0,1,4,3,0,0,1,0,0,5,0,1,8,4,5,1,0
AC002310.10,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,2,0,0,1
AC002310.12,26,12,2,0,39,9,16,4,6,35,15,13,26,1,5,1,0,48,19,29,107,1,24,25,11,15,22,15,11,11
AC002310.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.7,1,0,6,6,7,0,0,6,0,0,7,8,2,4,8,0,1,19,4,0,1,0,2,9,0,4,0,6,5,7
AC002314.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,3
AC002331.1,9,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,6,0,0,2,4,4,2,6,2,1,0
AC002365.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
AC002366.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AC002368.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,1,0
AC002383.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002386.1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002395.1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
AC002398.11,1,0,0,4,3,0,0,0,0,0,1,0,0,1,0,4,0,0,1,0,1,0,0,0,0,3,2,2,0,0
AC002398.12,8,1,0,0,7,0,0,0,1,6,7,0,0,0,1,0,0,17,1,8,0,0,0,2,1,7,0,3,4,0
AC002398.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002398.5,26,3,0,1,0,0,0,1,10,0,0,1,0,1,0,0,0,1,7,10,0,529,7,5,3,23,24,14,2,5
AC002398.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002400.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC002401.1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
AC002429.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC002429.5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
AC002451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
AC002451.3,5,2,0,0,10,0,0,0,0,1,0,17,0,0,1,0,0,0,0,1,0,0,8,3,0,2,1,1,0,0
AC002454.1,1,7,1,1,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,5
AC002456.2,109,14,0,0,0,0,0,0,0,14,0,17,0,0,13,0,0,0,18,24,0,0,10,22,10,25,27,4,8,3
AC002463.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2
AC002465.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002467.7,120,81,13,86,35,22,13,0,67,147,41,167,0,0,0,0,27,116,48,169,0,234,90,156,144,99,127,53,63,27
AC002472.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002472.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,2,0
AC002472.13,3,5,2,13,8,0,0,4,6,0,0,2,2,5,1,4,2,1,0,5,2,2,2,0,0,4,3,7,3,0
AC002477.1,5,4,3,43,3,5,0,1,1,1,3,5,0,2,0,5,1,3,0,1,0,0,0,0,0,0,3,0,0,5
AC002480.2,8,1,0,0,0,0,0,0,1,4,2,0,0,1,1,0,0,0,5,1,228,0,3,2,2,3,5,2,0,0
AC002480.3,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,2,3,1,1,2,0,2
AC002480.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.5,31,15,0,1,34,1,3,0,29,30,17,10,0,0,0,0,0,8,21,17,0,0,23,20,6,22,53,19,16,7
AC002485.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002486.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,1,2
AC002486.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002511.1,8,1,0,0,0,0,0,0,0,4,26,0,0,0,1,0,0,0,1,2,0,0,4,1,1,3,0,5,1,0
AC002511.2,106,219,357,177,73,0,84,0,76,158,19,114,107,0,0,1,0,0,18,67,0,0,47,304,347,464,139,183,40,91
AC002511.3,137,328,315,263,168,0,114,0,149,183,38,187,5,98,18,0,0,56,52,102,0,175,96,444,633,851,333,399,80,167
AC002519.6,14,22,2,0,0,2,0,0,3,5,2,0,0,0,0,0,0,4,6,3,0,0,9,23,38,6,9,6,3,11
AC002519.8,2,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,2,0,0
AC002523.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002539.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AC002539.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002542.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC002543.2,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,1
AC002550.5,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
AC002551.1,1,1,4,0,38,0,5,0,0,20,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,8,8,1,1
AC002553.1,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,2,1,1,0,0
AC002553.4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002558.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002978.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002979.1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002984.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
AC002985.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002992.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002994.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003001.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003002.6,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,1
AC003003.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
AC003005.2,0,0,0,3,3,1,0,0,0,7,0,1,0,0,0,9,0,1,1,0,1,0,0,0,0,1,0,1,0,0
AC003005.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003006.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AC003006.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003009.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AC003009.2,10,6,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,4,15,5,8,9,0,0,7
AC003029.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003035.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC003043.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003045.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003051.1,1,7,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,4,3,6,0,3,1,0
AC003075.4,8,4,15,1,0,15,3,0,0,2,8,0,3,0,0,0,0,0,17,64,0,0,17,5,4,12,6,4,21,16
AC003079.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003080.4,4,6,0,0,1,0,1,0,1,0,1,31,0,0,6,0,0,7,3,4,0,0,4,7,11,10,3,5,6,7
AC003084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003087.4,10,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,4,0,3,1,0,0,0,1,0,0,1
AC003088.1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003090.1,13,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,7,0,1,0,1,0,2,2,1,0,0,0,0
AC003092.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
AC003092.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AC003101.1,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
AC003102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003102.3,11,13,1,8,15,1,0,1,11,7,0,1,1,20,2,3,0,55,1,16,1,0,0,6,5,12,7,14,11,13
AC003104.1,123,137,0,0,0,37,0,0,36,128,27,7,0,0,7,0,0,2,82,29,0,0,52,241,52,93,142,73,22,48
AC003658.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC003664.1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
AC003665.1,3,1,0,0,1,1,0,0,4,8,0,0,0,0,0,0,0,0,11,5,0,1,1,4,2,10,0,0,1,0
AC003666.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003681.1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0
AC003682.16,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
AC003682.17,4,4,1,0,0,3,0,0,3,6,13,1,0,0,1,0,0,1,0,1,0,0,2,6,2,4,7,0,0,2
AC003956.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
AC003958.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,0,1
AC003958.6,0,0,0,1,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AC003968.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC003973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
AC003973.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,0,0
AC003973.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003973.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
AC003984.1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
AC003985.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003986.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1
AC003986.6,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AC003986.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003988.1,1,2,0,2,1,1,0,10,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0
AC003989.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003989.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
AC003991.3,9,10,46,0,0,0,0,0,5,18,0,2,1,0,0,0,0,2,1,3,0,0,7,19,6,17,18,7,0,0
AC004000.1,0,1,18,12,13,1,0,0,6,0,0,1,1,0,2,21,11,6,0,0,0,0,0,0,2,2,0,1,3,1
AC004004.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AC004006.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
AC004009.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004012.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004014.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004014.4,43,36,0,0,0,2,0,0,5,25,25,23,0,0,0,0,0,17,18,10,11,0,21,31,17,23,41,8,5,53
AC004016.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004016.2,1,1,29,0,0,0,0,0,1,6,2,1,0,0,0,0,0,1,1,0,0,0,4,5,1,6,4,3,0,4
AC004017.1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,4,6,2,0,2,0,0,1
AC004019.10,9,2,1,0,0,2,0,1,0,2,2,0,2,0,1,0,0,0,1,6,0,1,1,1,0,4,5,1,1,2
AC004019.13,5,29,2,3,3,0,4,0,5,42,9,9,1,21,3,0,2,46,5,26,0,2,6,18,2,24,37,16,40,72
AC004019.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004022.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004022.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004041.2,4,3,1,0,0,7,0,1,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,2,1,2
AC004051.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AC004052.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004053.1,0,3,0,3,18,0,1,0,3,0,0,4,1,1,0,2,0,0,0,1,0,1,0,0,1,0,1,1,1,2
AC004054.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0
AC004057.1,876,91,266,111,299,31,53,0,156,242,262,101,13,1,5,193,384,821,23,104,86,48,329,75,157,389,119,285,494,1490
AC004062.2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
AC004063.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC004066.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
AC004066.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC004067.5,6,11,1,0,18,0,4,0,9,11,7,0,0,34,0,0,0,16,11,3,0,171,8,1,7,9,11,10,10,4
AC004069.1,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,1,0,0,0,2,1,1,3,1,0,1
AC004069.2,174,74,52,64,13,8,0,0,13,61,31,19,0,0,0,1,0,17,52,116,0,2,81,79,40,45,49,21,41,38
AC004070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC004074.3,98,81,55,6,9,14,2,0,3,45,35,19,0,0,1,8,0,82,23,21,0,2,68,69,73,40,74,51,19,108
AC004074.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
AC004076.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
AC004076.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004079.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004112.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC004112.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004112.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,1,0,1
AC004125.3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0
AC004129.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
AC004129.9,6,8,2,0,1,2,0,0,7,0,3,5,1,0,0,1,0,7,6,21,1,4,9,0,5,5,5,11,10,14
AC004156.3,15,32,0,22,34,38,0,0,8,24,10,6,1,4,1,18,4,54,10,12,1,1,15,2,4,17,9,32,87,21
AC004158.2,6,13,53,0,5,0,4,1,0,0,12,1,0,1,0,0,1,2,1,2,4,0,10,6,0,4,5,3,5,0
AC004158.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,2,1,0
AC004159.1,4,4,0,1,0,2,0,0,1,3,0,1,0,1,0,0,0,3,1,1,0,1,1,1,0,1,0,2,0,4
AC004160.4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC004166.6,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5,0,0,3,5,1,3,1,4,1,0
AC004221.2,0,3,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,1,0,1,0,0,0,1,0,3,2,0,0,0
AC004231.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC004237.1,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AC004257.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
AC004257.3,61,91,8,0,7,46,7,0,26,122,6,58,0,27,0,0,0,47,45,70,0,0,47,73,46,63,49,55,51,60
AC004381.6,62,36,7,0,22,78,0,0,13,105,32,38,1,0,1,0,0,51,25,31,0,1,35,37,27,18,19,41,19,89
AC004381.7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,1,1,2,0,6,0,1
AC004383.3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1
AC004386.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC004386.4,328,222,152,117,57,155,21,0,97,149,147,325,1,3,1,49,18,242,56,77,3,28,115,104,298,159,328,68,81,296
AC004410.3,3,1,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,2,0,3,7,1,0,0
AC004447.2,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,5,0,1,1,0,1,0,1,4,0,0
AC004448.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,12,0,0,0
AC004448.5,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0
AC004449.6,3,12,0,0,0,0,1,0,1,17,0,0,3,0,0,0,0,13,7,7,0,1,3,9,0,3,1,17,8,2
AC004453.8,3814,2586,2200,3133,1397,957,364,19,873,2457,2008,3202,1,72,22,1000,1532,3475,563,713,288,1183,1181,1096,2801,2001,3036,1111,2070,5501
AC004458.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004461.4,3,0,0,3,1,0,0,3,2,1,0,2,0,1,0,2,0,2,0,1,1,0,1,1,1,0,1,1,0,4
AC004463.6,14,9,44,0,0,7,0,2,16,9,25,8,0,5,0,0,0,31,5,6,0,0,11,3,6,16,21,10,4,4
AC004466.1,11,5,15,0,14,1,18,0,19,11,18,14,0,0,0,0,0,6,13,10,0,0,12,5,6,22,20,17,25,24
AC004471.10,3,7,11,0,17,2,7,0,5,28,12,9,0,27,1,0,0,20,8,6,0,0,6,9,0,15,34,10,6,10
AC004471.9,12,1,0,55,0,77,0,0,4,1,17,0,0,0,5,0,0,5,3,5,0,0,14,5,2,7,32,5,2,4
AC004485.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AC004490.1,1,4,0,1,2,0,1,1,1,0,5,1,1,5,1,0,0,7,1,1,0,0,1,0,0,1,1,3,3,10
AC004492.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004510.3,1,8,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,19,0,0,0,0,4,8,0,3,6,4,0,0
AC004520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004528.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
AC004528.4,0,0,7,6,2,1,0,1,0,18,0,0,0,0,1,1,3,23,8,0,0,0,1,3,0,3,17,7,10,0
AC004535.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004538.3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,3,3,0,0
AC004540.4,0,0,0,0,0,0,0,3,0,0,0,1,0,5,1,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0
AC004540.5,2,3,15,26,0,4,0,0,0,1,8,0,2,0,1,0,0,27,8,19,1,181,6,8,16,9,9,3,2,14
AC004543.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004543.2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,1,0
AC004549.6,7,21,0,0,0,0,0,0,4,6,2,11,1,0,0,0,0,21,2,0,0,1,6,3,2,37,40,15,1,9
AC004552.1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,5,0,0
AC004562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
